longitude,latitude,year,GWL,seismic_risk_score,rainfall_mm,subsidence,geological_category,normalized_density,density_tier,subsidence_intensity,density_concentration,normalized_seismic_risk_score,rainfall_category
113.240334,22.476652,2015,2.865852926481938,-16.2691088142058,1594.8432071727077,15.51,Residual Soil,0.2685158031102104,Low,Minimal,Sparse,0.2440196808333491,Medium
113.215866,22.510025,2023,1.9240216868229445,-17.13500540144451,1970.5985816244831,31.6,Residual Soil,0.380290584286783,Medium,Moderate,Moderate,0.2709975182329386,Medium
113.237984,22.494591,2018,0.7525564144193989,-16.536259809324875,2314.8103939887374,8.09,Residual Soil,0.3032474489441521,Low,Minimal,Sparse,0.2520156203661521,Medium
113.219109,22.513433,2019,1.0439983780395816,-17.119299072237297,2120.83480078969,15.49,Residual Soil,0.3106515481639431,Low,Minimal,Sparse,0.2329228537138906,Medium
113.210678,22.536232,2015,1.7005576493418677,-17.566147491349298,1649.8773395475023,14.02,Gravelly Soil,0.484222009725225,Medium,Minimal,Moderate,0.1795508454199725,Medium
113.219574,22.517361,2017,2.1002854877486548,-17.16117158730702,1876.483937601144,23.81,Rock,0.1174719774094925,Low,Minimal,Sparse,0.2372373517777346,Medium
113.218643,22.525806,2017,1.531709703479672,-17.287098392197787,1781.1866715664048,6.15,Rock,0.0854131011385924,Low,Minimal,Sparse,0.1746859254551237,Medium
113.21698,22.521656,2023,2.414173842584571,-17.263372380123258,1997.481056255035,39.25,Gravelly Soil,0.5977596242232941,Medium,Moderate,Moderate,0.2789043882095195,Medium
113.208443,22.546741,2016,0.9179908186966284,-17.744416607181886,2687.4591446204377,32.05,Residual Soil,0.2916762165426774,Low,Moderate,Sparse,0.2570424918053834,High
113.227898,22.538059,2015,1.3878661896081057,-17.28309745506176,1634.6532454034505,9.41,Residual Soil,0.3163721228183985,Medium,Minimal,Sparse,0.1893500213625226,Medium
113.24118,22.548998,2018,0.9397851176467312,-17.19749155914735,2409.834891791272,22.91,Residual Soil,0.3536511401662509,Medium,Minimal,Moderate,0.2588243280167823,High
113.234329,22.543566,2021,1.1258776681488485,-17.243492368324336,1887.2160200414428,11.04,Residual Soil,0.3270837369660567,Medium,Minimal,Sparse,0.2051460633475135,Medium
113.201942,22.536247,2017,2.0028657116470474,-17.723407732771474,1916.901607620891,28.75,Rock,0.1354538169216761,Low,Moderate,Sparse,0.2200824659453807,Medium
113.197014,22.535776,2016,0.4180223322714862,-17.806254494352668,2580.133965029206,13.03,Residual Soil,0.2864888932500514,Low,Minimal,Sparse,0.1925752306150658,High
113.234955,22.549314,2018,0.3548077372036283,-17.310623671899577,2303.665739725744,3.38,Residual Soil,0.3244030236403249,Medium,Minimal,Sparse,0.1910822509112887,Medium
113.196449,22.545557,2021,1.755311770824013,-17.94336022033969,1960.747675436661,26.34,Residual Soil,0.327574372636534,Low,Moderate,Sparse,0.1996661195598371,Medium
113.236008,22.540255,2017,1.1998350357991816,-17.16916971802363,1787.0833231917982,4.93,Gravelly Soil,0.4825487634180726,Medium,Minimal,Moderate,0.1848071606020321,Medium
113.203903,22.534786,2017,1.1832582763039712,-17.66912712361849,1789.2282131932095,5.1,Gravelly Soil,0.4896536174080321,Medium,Minimal,Moderate,0.1515863678934591,Medium
113.202469,22.537361,2021,0.9557022113053548,-17.72837430806845,1818.229379916324,0.01,Residual Soil,0.2949960614080595,Low,Minimal,Sparse,0.133839346904032,Medium
113.207779,22.535067,2017,1.6404490214798326,-17.60300599765031,1872.1072289478568,20.35,Residual Soil,0.3064803089369783,Low,Minimal,Sparse,0.2029475455993564,Medium
113.211746,22.547876,2017,1.201796158783197,-17.700705270818045,1809.3410520776165,8.07,Residual Soil,0.2687824696628099,Low,Minimal,Sparse,0.1603698545651474,Medium
113.222351,22.534164,2022,1.0143168674308416,-17.330103866048812,2088.5218763384846,10.49,Rock,0.1122612118620577,Low,Minimal,Sparse,0.2012380121585928,Medium
113.238739,22.544714,2016,0.0754686703250982,-17.181615269594797,2557.3914559668247,7.1,Rock,0.0720329953095934,Low,Minimal,Sparse,0.2216014432691247,High
113.211456,22.540216,2017,1.7392077315992425,-17.604495390825583,1889.624109742423,23.59,Gravelly Soil,0.5645808773233372,Medium,Minimal,Moderate,0.2127513667582094,Medium
